emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7
3.678897261956970866e+00,4.960427884619577732e+00,4.905705332495781335e+00,5.554669147900475501e+00,1.430452759265555152e+01,1.850496016160483848e+01,1.794063558445689655e+00,3.853620430039709888e+00
-8.924912967289584387e-01,-1.137191709044363286e+00,-1.979058233814792178e+00,-2.768608124224707367e+00,-1.729079017941348440e+00,-1.445903156939500889e+00,-3.205458707664173623e+00,-1.407885763826436598e+00
1.041664809858819929e+00,4.646143610703701299e-01,-1.008395484409980281e+00,-1.915797909439611146e+00,-1.315482355487042199e+01,-1.681858120380359267e+01,1.090921209548633142e-01,9.112637180353482247e-01
-1.399395340256244236e+00,-2.582609824032615187e+00,-4.776528798701900946e+00,-9.016911028006042272e+00,-2.609875687131555111e+01,-3.254301436640719203e+01,-6.806213460170704721e-01,-1.404670144297260226e+00
2.325524674046901552e+00,9.384709797163108824e-01,-2.098059993952387181e+00,-6.606529003604383554e+00,-2.253277569589763729e+01,-2.940196769681997679e+01,2.428298440148230153e+00,2.683491835740597242e+00
4.313205356565899429e+00,4.900839980470787616e+00,3.604801506543722667e+00,3.563456798722011598e+00,-8.039055254814888585e+00,-1.615415579511459754e+01,2.633047543566929605e+00,4.181505600761142638e+00
5.101232321968572236e+00,6.007090891353617401e+00,5.428795049421104579e+00,6.156883457312171792e+00,2.657595220380732925e+00,-1.252870029362927795e+00,1.519264425184549738e+00,3.577909963248608882e+00
1.739630200185030784e+00,2.298793207765826185e+00,2.216860032530928670e+00,5.245232122585524515e+00,1.456146965853464792e+01,1.824029120405265658e+01,-5.506700267837856266e-01,7.522581893563780042e-01
-4.380727510181028350e-01,8.533881743234021933e-01,1.900939357248823569e+00,5.261444676440536483e+00,1.953977563603883283e+01,2.396201522219189783e+01,-1.154105883124418419e+00,-1.180839610019478236e+00
-1.851139542843004193e+00,-1.402108175862728956e+00,7.806575032456071206e-01,3.193463847711926817e+00,1.708167777896702333e+01,2.097141496609580358e+01,1.786184517104560943e-01,-1.784137095488596669e+00
-1.338364598290035845e+00,-1.619360720465349068e+00,8.042358830753386645e-01,1.220777605436246027e+00,9.339064630470602424e+00,1.296623430971059143e+01,6.931717860027311051e-01,-5.986604134439847957e-01
-3.969634302895100664e+00,-3.243026213132131019e+00,-2.957000164127036701e+00,-4.357735902678546935e+00,-4.628105504645766644e+00,-4.723562178303152947e+00,-3.053295530073061759e+00,-3.447962269676620117e+00
1.762785085384795725e+00,1.130895912683690163e+00,-1.297947394574853197e-01,-4.444901993750964841e+00,-1.449409480359123492e+01,-1.885911858412470821e+01,1.023721217711091480e+00,1.862881603348439885e+00
-1.224332612821514399e+00,-1.348070899511781828e+00,5.252153180867609183e-01,-6.725464712024725067e+00,-1.952339884721162733e+01,-2.634847482512845218e+01,2.557312088877363165e-01,-8.293169306095966586e-01
-4.720433858528596538e-01,-3.895779910992289707e-01,2.099867847926127684e+00,-1.218863694298928380e-01,-1.302394778951704168e+01,-1.837629617170489738e+01,4.161008544327655656e+00,9.831597963258833506e-01
-1.132756954657713422e+00,-3.648926055662823575e+00,-6.018188297809770049e+00,-4.549129280554049082e+00,-9.035518564737790470e+00,-1.204416828323855349e+01,2.922379450566228609e+00,7.839270829014171049e-01
-4.785274174504258404e+00,-6.098716200549315403e+00,-4.969565116714265152e+00,-2.742192945954164074e+00,1.334412842054359061e+00,-1.680737011413775406e+00,-5.172981357251220658e+00,-5.445861217141981570e+00
-4.377635729823754041e+00,-4.594189848014242017e+00,-4.055034188199247325e+00,-1.244329856175701465e+00,7.582919423638244893e+00,1.194931579040286884e+01,-5.457065443510302316e+00,-4.952391355642043358e+00
-2.408610173039000824e+00,-1.277187730464620863e+00,1.365584982590908325e-01,2.219824909129278545e+00,1.061445776410692332e+01,1.825627446086462413e+01,-3.986098357816298510e+00,-3.315668373464688123e+00
2.446076435077834788e+00,2.978198811904116283e+00,2.680432762450982498e+00,6.495778811365931382e+00,1.481582098930066849e+01,2.427182272410415109e+01,1.123350722717484373e+00,1.684332313965610339e+00
3.893317000037156195e+00,3.701676528944660927e+00,1.598175835896993302e+00,5.173979851154756560e+00,1.493118769142544622e+01,2.494647562981155886e+01,3.699765773872857988e+00,4.443121988096710773e+00
5.033988310586180681e+00,6.155940321949542771e+00,5.393227458009141273e+00,4.771854385442910740e+00,7.359222774342756068e+00,1.279872977754854446e+01,2.743393415563486926e+00,4.244356591904781872e+00
4.522122071085631134e+00,5.291403925815822973e+00,4.376556741696013830e+00,1.991133982723033213e+00,-5.795816609843596368e+00,-9.392921653358357048e+00,2.779883691959498471e+00,3.934817759681001448e+00
-1.818705738176233044e+00,-1.808945004914963128e+00,-3.603136755872700547e+00,-7.220918296832542715e+00,-1.787472243142585882e+01,-2.588490811493204191e+01,-3.362406975202283377e-01,-5.127293050419163833e-01
-6.205568111311312585e-01,-7.951195234206220874e-01,-2.952676623667062739e+00,-5.732543778457042549e+00,-1.726466707854631366e+01,-2.405115329060425466e+01,1.325319802050716866e+00,5.308102538041139518e-01
-2.179182799885336141e+00,-2.524333971963139245e+00,-3.426439124610147324e+00,-4.109866857003802387e+00,-1.280353661360778439e+01,-1.727768072129453003e+01,-8.274342721721230642e-01,-1.768364625944959467e+00
