accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2.380365000000000120e-01,-8.529030899999999749e-01,-4.567859400000000014e-01,6.103999999999999426e-01,9.156000000000000250e-02,-1.983800000000000008e-01
2.380365000000000120e-01,-8.529030899999999749e-01,-4.567859400000000014e-01,6.103999999999999426e-01,9.156000000000000250e-02,-1.983800000000000008e-01
2.380365000000000120e-01,-8.529030899999999749e-01,-4.567859400000000014e-01,6.103999999999999426e-01,9.156000000000000250e-02,-1.983800000000000008e-01
2.380365000000000120e-01,-8.529030899999999749e-01,-4.567859400000000014e-01,6.103999999999999426e-01,9.156000000000000250e-02,-1.983800000000000008e-01
2.380365000000000120e-01,-8.529030899999999749e-01,-4.567859400000000014e-01,6.103999999999999426e-01,9.156000000000000250e-02,-1.983800000000000008e-01
2.380365000000000120e-01,-8.529030899999999749e-01,-4.567859400000000014e-01,6.103999999999999426e-01,9.156000000000000250e-02,-1.983800000000000008e-01
2.380365000000000120e-01,-8.529030899999999749e-01,-4.567859400000000014e-01,6.103999999999999426e-01,9.156000000000000250e-02,-1.983800000000000008e-01
2.380365000000000120e-01,-8.529030899999999749e-01,-4.567859400000000014e-01,6.103999999999999426e-01,9.156000000000000250e-02,-1.983800000000000008e-01
2.380365000000000120e-01,-8.529030899999999749e-01,-4.567859400000000014e-01,6.103999999999999426e-01,9.156000000000000250e-02,-1.983800000000000008e-01
2.380365000000000120e-01,-8.529030899999999749e-01,-4.567859400000000014e-01,6.103999999999999426e-01,9.156000000000000250e-02,-1.983800000000000008e-01
2.405999699999999963e-01,-8.522927399999999931e-01,-4.588000950000000189e-01,-1.129240000000000022e+00,-2.288999999999999924e-01,-1.068199999999999983e-01
2.405999699999999963e-01,-8.522927399999999931e-01,-4.588000950000000189e-01,-1.129240000000000022e+00,-2.288999999999999924e-01,-1.068199999999999983e-01
2.405999699999999963e-01,-8.522927399999999931e-01,-4.588000950000000189e-01,-1.129240000000000022e+00,-2.288999999999999924e-01,-1.068199999999999983e-01
2.405999699999999963e-01,-8.522927399999999931e-01,-4.588000950000000189e-01,-1.129240000000000022e+00,-2.288999999999999924e-01,-1.068199999999999983e-01
2.405999699999999963e-01,-8.522927399999999931e-01,-4.588000950000000189e-01,-1.129240000000000022e+00,-2.288999999999999924e-01,-1.068199999999999983e-01
2.405999699999999963e-01,-8.522927399999999931e-01,-4.588000950000000189e-01,-1.129240000000000022e+00,-2.288999999999999924e-01,-1.068199999999999983e-01
2.405999699999999963e-01,-8.522927399999999931e-01,-4.588000950000000189e-01,-1.129240000000000022e+00,-2.288999999999999924e-01,-1.068199999999999983e-01
2.405999699999999963e-01,-8.522927399999999931e-01,-4.588000950000000189e-01,-1.129240000000000022e+00,-2.288999999999999924e-01,-1.068199999999999983e-01
2.405999699999999963e-01,-8.522927399999999931e-01,-4.588000950000000189e-01,-1.129240000000000022e+00,-2.288999999999999924e-01,-1.068199999999999983e-01
2.405999699999999963e-01,-8.522927399999999931e-01,-4.588000950000000189e-01,-1.129240000000000022e+00,-2.288999999999999924e-01,-1.068199999999999983e-01
2.442010350000000107e-01,-8.524758450000000654e-01,-4.623401249999999907e-01,-3.845519999999999605e+00,-8.392999999999999350e-01,5.798799999999999510e-01
2.442010350000000107e-01,-8.524758450000000654e-01,-4.623401249999999907e-01,-3.845519999999999605e+00,-8.392999999999999350e-01,5.798799999999999510e-01
2.442010350000000107e-01,-8.524758450000000654e-01,-4.623401249999999907e-01,-3.845519999999999605e+00,-8.392999999999999350e-01,5.798799999999999510e-01
2.442010350000000107e-01,-8.524758450000000654e-01,-4.623401249999999907e-01,-3.845519999999999605e+00,-8.392999999999999350e-01,5.798799999999999510e-01
2.442010350000000107e-01,-8.524758450000000654e-01,-4.623401249999999907e-01,-3.845519999999999605e+00,-8.392999999999999350e-01,5.798799999999999510e-01
2.442010350000000107e-01,-8.524758450000000654e-01,-4.623401249999999907e-01,-3.845519999999999605e+00,-8.392999999999999350e-01,5.798799999999999510e-01
2.442010350000000107e-01,-8.524758450000000654e-01,-4.623401249999999907e-01,-3.845519999999999605e+00,-8.392999999999999350e-01,5.798799999999999510e-01
2.442010350000000107e-01,-8.524758450000000654e-01,-4.623401249999999907e-01,-3.845519999999999605e+00,-8.392999999999999350e-01,5.798799999999999510e-01
2.442010350000000107e-01,-8.524758450000000654e-01,-4.623401249999999907e-01,-3.845519999999999605e+00,-8.392999999999999350e-01,5.798799999999999510e-01
2.442010350000000107e-01,-8.524758450000000654e-01,-4.623401249999999907e-01,-3.845519999999999605e+00,-8.392999999999999350e-01,5.798799999999999510e-01
2.465203649999999913e-01,-8.517434249999999984e-01,-4.639880700000000302e-01,-5.005279999999999951e+00,-1.938019999999999854e+00,9.308599999999999097e-01
2.465203649999999913e-01,-8.517434249999999984e-01,-4.639880700000000302e-01,-5.005279999999999951e+00,-1.938019999999999854e+00,9.308599999999999097e-01
2.465203649999999913e-01,-8.517434249999999984e-01,-4.639880700000000302e-01,-5.005279999999999951e+00,-1.938019999999999854e+00,9.308599999999999097e-01
2.465203649999999913e-01,-8.517434249999999984e-01,-4.639880700000000302e-01,-5.005279999999999951e+00,-1.938019999999999854e+00,9.308599999999999097e-01
2.465203649999999913e-01,-8.517434249999999984e-01,-4.639880700000000302e-01,-5.005279999999999951e+00,-1.938019999999999854e+00,9.308599999999999097e-01
2.465203649999999913e-01,-8.517434249999999984e-01,-4.639880700000000302e-01,-5.005279999999999951e+00,-1.938019999999999854e+00,9.308599999999999097e-01
2.465203649999999913e-01,-8.517434249999999984e-01,-4.639880700000000302e-01,-5.005279999999999951e+00,-1.938019999999999854e+00,9.308599999999999097e-01
2.465203649999999913e-01,-8.517434249999999984e-01,-4.639880700000000302e-01,-5.005279999999999951e+00,-1.938019999999999854e+00,9.308599999999999097e-01
2.465203649999999913e-01,-8.517434249999999984e-01,-4.639880700000000302e-01,-5.005279999999999951e+00,-1.938019999999999854e+00,9.308599999999999097e-01
2.465203649999999913e-01,-8.517434249999999984e-01,-4.639880700000000302e-01,-5.005279999999999951e+00,-1.938019999999999854e+00,9.308599999999999097e-01
